Company,Sector,Country,Region,Indicator,KPI,Unit,2023,2022,2021,2020
ABInBev,Consumer Defensive,South Africa,Africa,Emissions,Total Scope 1 and 2 emissions,tCO2e,3390000,3680000,4140000,4440000
ABInBev,Consumer Defensive,South Africa,Africa,Emissions,Total carbon emissions,tCO2e,25770000,27770000,28830000,26590000
ABInBev,Consumer Defensive,South Africa,Africa,Emissions,Scope 3 emissions,tCO2e,22.38,24.09,,
ABInBev,Consumer Defensive,South Africa,Africa,Emissions,Scopes 1 and GHG emissions per hectoliter of production,kg CO2e/hl,4.46,4.64,5.04,6.43
ABInBev,Consumer Defensive,South Africa,Africa,Emissions,"Scopes 1, 2 and 3 GHG emissions per hectoliter of production",kg CO2e/hl,45.24,47.29,50.03,52.45
ABInBev,Consumer Defensive,South Africa,Africa,Emissions,Scope 3 GHG emissions per hectoliter of production,kg CO2e/hl,39.30,41.01,42.84,43.70
ABInBev,Consumer Defensive,South Africa,Africa,Emissions,Reduction in absolute 1 and 2 GHG emissions,%,,39.2,,
ABInBev,Consumer Defensive,South Africa,Africa,Emissions,"Reduction in Scopes 1, 2 and 3 GHG emissions intensity",%,24.2,20.7,,
ABInBev,Consumer Defensive,South Africa,Africa,Water,Water used,kL,1440000000,1550000000,1520000000,1410000000
ABInBev,Consumer Defensive,South Africa,Africa,Water,Water use efficiency ratio,Litres/Litres,2.53,2.64,2.64,2.68
ABInBev,Consumer Defensive,South Africa,Africa,Water,Water withdrawn,kL,1700000000,,,
ABInBev,Consumer Defensive,South Africa,Africa,Water,Water discharged,kL,1010000000,,,
ABInBev,Consumer Defensive,South Africa,Africa,Water,Improvement in water efficiency,%,17.9,14.3,,
ABInBev,Consumer Defensive,South Africa,Africa,Water,Water intake by source - Groundwater,%,40.93,40.6,,
ABInBev,Consumer Defensive,South Africa,Africa,Water,Water intake by source - Third party,%,40.26,40.3,,
ABInBev,Consumer Defensive,South Africa,Africa,Water,Water intake by source - Surface water,%,18.80,19.1,,
ABInBev,Consumer Defensive,South Africa,Africa,Water,Water intake by source - Rainwater,%,0.01,0.1,,
ABInBev,Consumer Defensive,South Africa,Africa,Energy,Energy consumption,GJ,52940000,55450000,56230000,
ABInBev,Consumer Defensive,South Africa,Africa,Energy,Energy purchased,GJ,50030000,52710000,53820000,50510000
ABInBev,Consumer Defensive,South Africa,Africa,Energy,Energy usage per hectoliter of production,MJ/hl,92.99,94.43,97.37,99.50
ABInBev,Consumer Defensive,South Africa,Africa,Energy,Energy purchased per hectoliter of production,MJ/hl,87.89,89.76,93.19,95.98
ABInBev,Consumer Defensive,South Africa,Africa,Energy,Renewable electricity operational,%,73.6,67.6,41.2,32.2
ABInBev,Consumer Defensive,South Africa,Africa,Energy,Renewable electricity contracted,%,100,97.1,84.7,73.6
ABInBev,Consumer Defensive,South Africa,Africa,Energy,Reduced purchased energy,%,,8.7,,
ABInBev,Consumer Defensive,South Africa,Africa,Waste,Returnable packaging,%,41.2,40.3,37.0,38.2
ABInBev,Consumer Defensive,South Africa,Africa,Waste,Waste recycled - Cans,%,61.3,56.7,56.2,58.1
ABInBev,Consumer Defensive,South Africa,Africa,Waste,Waste recycled - Glass,%,48.3,48.0,45.8,45.8
