Company,Sector,Country,Region,Indicator,KPI,Unit,2023,2022,2021,2020
ABSA Group,Financial Services,South Africa,Africa,B-BBEE level,B-BBEE level,Level,1,1,1,2
ABSA Group,Financial Services,South Africa,Africa,Board diversity,Female board members,%,38,37,-,-
ABSA Group,Financial Services,South Africa,Africa,Board composition,Number of board members,Number,15,14,15,16
ABSA Group,Financial Services,South Africa,Africa,Board composition,Independent non-executive directors,Number,13,11,12,11
ABSA Group,Financial Services,South Africa,Africa,Board composition,Non-executive directors,Number,0,1,1,3
ABSA Group,Financial Services,South Africa,Africa,Board composition,Executive directors,Number,2,2,2,2
ABSA Group,Financial Services,South Africa,Africa,Board diversity,Female board members,Number,6,4,6,5
ABSA Group,Financial Services,South Africa,Africa,Board diversity,AIC board members,Number,7,5,6,6
ABSA Group,Financial Services,South Africa,Africa,Board meeting,Board meeting attendance,%,96,98,98,99
ABSA Group,Financial Services,South Africa,Africa,Board tenure,0 - 3 years,Years,11,4,9,1
ABSA Group,Financial Services,South Africa,Africa,Board tenure,4 - 6 years,Years,3,9,3,8
ABSA Group,Financial Services,South Africa,Africa,Board tenure,7 - 9 years,Years,1,3,3,2
ABSA Group,Financial Services,South Africa,Africa,Board diversity,Board members between 40 - 49 years,Number,2,2,3,3
ABSA Group,Financial Services,South Africa,Africa,Board diversity,Board members between 50 - 59 years,Number,4,3,3,3
ABSA Group,Financial Services,South Africa,Africa,Board diversity,Board members between 60 - 69 years,Number,9,8,8,8
ABSA Group,Financial Services,South Africa,Africa,Board diversity,Board members 70+ years,Number,0,1,1,2
ABSA Group,Financial Services,South Africa,Africa,Ethics,Number of whistleblowing cases,Number,441,416,416,312
ABSA Group,Financial Services,South Africa,Africa,Ethics,Number of disciplinary cases,Number,1970,1690,1577,1498
ABSA Group,Financial Services,South Africa,Africa,Ethics,Number of disciplinary cases concluded,Number,1678,1480,961,1482
Accelerate Property Fund,Real Estate,South Africa,Africa,Board composition,Number of board members,Number,8,10,9,10
Accelerate Property Fund,Real Estate,South Africa,Africa,Board composition,Independent non-executive directors,Number,4,5,5,6
Accelerate Property Fund,Real Estate,South Africa,Africa,Board composition,Non-executive directors,Number,6,1,4,4
Accelerate Property Fund,Real Estate,South Africa,Africa,Board composition,Executive directors,Number,2,4,4,4
Accelerate Property Fund,Real Estate,South Africa,Africa,Board diversity,White male board members,Number,5,7,7,8
Accelerate Property Fund,Real Estate,South Africa,Africa,Board diversity,Black male board members,Number,2,2,1,1
Accelerate Property Fund,Real Estate,South Africa,Africa,Board diversity,Black female board members,Number,1,1,1,1
Accelerate Property Fund,Real Estate,South Africa,Africa,Board diversity,Female board members,Number,1,1,1,1
Accelerate Property Fund,Real Estate,South Africa,Africa,Board diversity,Average age,Years,58,60
Accelerate Property Fund,Real Estate,South Africa,Africa,Board tenure,Average board tenure,Years,3,5,5
Acsion,Real Estate,South Africa,Africa,Board composition,Number of board members,Number,6,6,5,7
Acsion,Real Estate,South Africa,Africa,Board composition,Non-executive directors,Number,4,2,2,2
Acsion,Real Estate,South Africa,Africa,Board composition,Executive directors,Number,2,3,2,2
Acsion,Real Estate,South Africa,Africa,Board composition,Independent non-executive directors,Number,3,4,3,5
Acsion,Real Estate,South Africa,Africa,Board diversity,Black board members,Number,1,3,3,4
Acsion,Real Estate,South Africa,Africa,Board diversity,White board members,Number,5,3,3,3
Acsion,Real Estate,South Africa,Africa,Board diversity,Female board members,Number,2,2,2,2
Acsion,Real Estate,South Africa,Africa,Board meeting,Board meeting attendance,%,-,-,100,93
Acsion,Real Estate,South Africa,Africa,Board tenure,0 - 3 years,Years,-,-,1,3
Acsion,Real Estate,South Africa,Africa,Board tenure,3 - 5 years,Years,-,-,4,4
Adcock Ingram,Healthcare,South Africa,Africa,Executive,Executive management team - Ready now,Number,3
Adcock Ingram,Healthcare,South Africa,Africa,Executive,Executive management team - 1 year,Number,2
Adcock Ingram,Healthcare,South Africa,Africa,Executive,Executive management team - 2 years,Number,2
Adcock Ingram,Healthcare,South Africa,Africa,Executive,Executive management team - 3 years,Number,3
Adcock Ingram,Healthcare,South Africa,Africa,Executive,Executive management team - >3 years,Number,4
Adcock Ingram,Healthcare,South Africa,Africa,Executive,Executive management team - Female,%,21
Adcock Ingram,Healthcare,South Africa,Africa,Executive,Executive management team - Black,%,79
Adcock Ingram,Healthcare,South Africa,Africa,Ethics,Number of whistleblowing cases,Number,62,17,16,
Adcock Ingram,Healthcare,South Africa,Africa,B-BBEE level,B-BBEE level,Level,2,2,3,1
Adcock Ingram,Healthcare,South Africa,Africa,Board composition,Number of board members,Number,11,12,11,12
Adcock Ingram,Healthcare,South Africa,Africa,Board composition,Independent non-executive directors,Number,5,6,5,5
Adcock Ingram,Healthcare,South Africa,Africa,Board composition,Non-executive directors,Number,8,9,3,3
Adcock Ingram,Healthcare,South Africa,Africa,Board composition,Executive directors,Number,3,3,3,3
Adcock Ingram,Healthcare,South Africa,Africa,Board diversity,Black board members (%),%,64,58,55,45
Adcock Ingram,Healthcare,South Africa,Africa,Board diversity,White board members (%),%,36,42,45,55
Adcock Ingram,Healthcare,South Africa,Africa,Board diversity,Female board members (%),%,27,33,64,64
Adcock Ingram,Healthcare,South Africa,Africa,Board diversity,Male board members (%),%,73,67,36,36
Adcock Ingram,Healthcare,South Africa,Africa,Board diversity,Board members who are under 50 years,%,36,-,-,-
Adcock Ingram,Healthcare,South Africa,Africa,Board diversity,Board members who are between 50 and 60 years,%,55,-,-,-
Adcock Ingram,Healthcare,South Africa,Africa,Board diversity,Board members who are over 60 years,%,9,-,-,-
Adcock Ingram,Healthcare,South Africa,Africa,Board diversity,Average age,Years,53,55,53,
Adcock Ingram,Healthcare,South Africa,Africa,Board tenure,Average tenure,Years,5.4,5.2,4.6,
Adcock Ingram,Healthcare,South Africa,Africa,Board meeting,Board meeting attendance,%,100,-,-,95
Adcorp,Industrials,South Africa,Africa,B-BBEE level,B-BBEE level,Level,1,1,1,1
Adcorp,Industrials,South Africa,Africa,Board composition,Independent non-executive directors,Number,5,6,6,6
Adcorp,Industrials,South Africa,Africa,Board composition,Non-executive directors,Number,3,5,5,5
Adcorp,Industrials,South Africa,Africa,Board composition,Executive directors,Number,2,2,2,2
Adcorp,Industrials,South Africa,Africa,Board diversity,Male board members,%,60,69,69,64
Adcorp,Industrials,South Africa,Africa,Board diversity,Female board members,%,40,31,31,36
Adcorp,Industrials,South Africa,Africa,Board tenure,Board tenure - 0 - 2 years,%,10,31,54,64
Adcorp,Industrials,South Africa,Africa,Board tenure,Board tenure - 3 - 5 years,%,80,61,38,18
Adcorp,Industrials,South Africa,Africa,Board tenure,Board tenure - 5 - 9 years,%,10,8,8,18
Adcorp,Industrials,South Africa,Africa,Board diversity,Board members between 30 - 39 years,%,20,15,15,18
Adcorp,Industrials,South Africa,Africa,Board diversity,Board members between 40 - 49 years,%,0,15,23,27
Adcorp,Industrials,South Africa,Africa,Board diversity,Board members between 50 - 59 years,%,40,31,23,37
Adcorp,Industrials,South Africa,Africa,Board diversity,Board members between 60 - 69 years,%,40,39,39,18
Adcorp,Industrials,South Africa,Africa,Board diversity,Board race - Black,%,40,46,46,46
Adcorp,Industrials,South Africa,Africa,Board diversity,Board race - Indian,%,10,8,8,9
Adcorp,Industrials,South Africa,Africa,Board diversity,Board race - Coloured,%,10,8,8,0
Adcorp,Industrials,South Africa,Africa,Board diversity,Board race - White,%,40,30,30,36
