Company,Sector,Country,Region,Indicator,KPI,Unit,2023,2022,2021,2020
ABInBev,Consumer Defensive,South Africa,Africa,Diversity,Number of nationalities represented,Number,135,132,125,121
ABInBev,Consumer Defensive,South Africa,Africa,Diversity,Percent of women in workforce,%,22,22,21,19
ABInBev,Consumer Defensive,South Africa,Africa,Diversity,Percent of women in salaried workforce,%,36,35,34,32
ABInBev,Consumer Defensive,South Africa,Africa,Diversity,Percent of women in senior management,%,29,28,26,24
ABInBev,Consumer Defensive,South Africa,Africa,Diversity,Percent of women in senior leadership,%,14,14,14,14
ABInBev,Consumer Defensive,South Africa,Africa,Safety,Number of fatalities,Number,5,9,6,7
ABInBev,Consumer Defensive,South Africa,Africa,Safety,Lost time injuries (LTIs),Number,243,231,281,302
ABInBev,Consumer Defensive,South Africa,Africa,Safety,Total recordable injuries,Number,640,783,1033,984
ABInBev,Consumer Defensive,South Africa,Africa,Employees,Number of employees,Number,155000,167000,169000,164000
ABInBev,Consumer Defensive,South Africa,Africa,Employees,Employee turnover rate,%,-,9.5,-,-
ABInBev,Consumer Defensive,South Africa,Africa,Employees,Employee engagement score,%,87,89,-,-
ABInBev,Consumer Defensive,South Africa,Africa,Education,People recruited to the Global Management Trainee (GMT) Program,Number,132
ABInBev,Consumer Defensive,South Africa,Africa,Education,People recruited to the Global MBA (GMBA) Program,Number,13
ABInBev,Consumer Defensive,South Africa,Africa,CSI,Humanitarian relief support donation,million USD,15
ABInBev,Consumer Defensive,South Africa,Africa,CSI,Cans of emergency drinking water delivered,million,10
ABSA Group,Financial Services,South Africa,Africa,Employees,Number of employees,Number,37107,35451,35267,36737
ABSA Group,Financial Services,South Africa,Africa,Employees,Vacancies filled,Number,7162,9374,7081,4277
ABSA Group,Financial Services,South Africa,Africa,Employees,Internal candidates,%,39.5,61.2,70.4,74.6
ABSA Group,Financial Services,South Africa,Africa,Employees,Internal promotions - Female,%,45.3,61.6,53.8,51.7
ABSA Group,Financial Services,South Africa,Africa,Employees,New hires - Female,%,53.6,51.4,45.3,44.7
ABSA Group,Financial Services,South Africa,Africa,Employees,Employee turnover rate,%,7.25,9.2,8.7,7.0
ABSA Group,Financial Services,South Africa,Africa,Employees,Employee turnover rate - Male,%,6.5,11.0,10.1,8.4
ABSA Group,Financial Services,South Africa,Africa,Employees,Employee turnover - Female,%,8.5,8.0,8.0,6.2
ABSA Group,Financial Services,South Africa,Africa,Employees,Employee turnover rate - Voluntary,%,5.5,7.4,6.4,4.9
ABSA Group,Financial Services,South Africa,Africa,Employee tenure,0 - 2 years,%,23.3,16.3,14.1,16.9
ABSA Group,Financial Services,South Africa,Africa,Employee tenure,3 - 5 years,%,11.6,17.0,18.7,18.4
ABSA Group,Financial Services,South Africa,Africa,Employee tenure,6 - 10 years,%,22.2,22.6,22.5,21.4
ABSA Group,Financial Services,South Africa,Africa,Employee tenure,11 - 20 years,%,31.0,31.3,31.8,30.3
ABSA Group,Financial Services,South Africa,Africa,Employee tenure,21 - 30 years,%,7.7,8.2,8.3,8.6
ABSA Group,Financial Services,South Africa,Africa,Employee tenure,31 - 40 years,%,4.0,4.4,4.3,4.2
ABSA Group,Financial Services,South Africa,Africa,Employee tenure,> 41 years,%,0.2,0.2,0.2,0.1
ABSA Group,Financial Services,South Africa,Africa,Diversity,Female employees,%,60.6,60.8,60.9,61.1
ABSA Group,Financial Services,South Africa,Africa,Employment equity,Senior management - Female,%,38.8,37.0,35.0,35.3
ABSA Group,Financial Services,South Africa,Africa,Employment equity,Middle management - Female,%,51.8,51.2,50.6,51.1
ABSA Group,Financial Services,South Africa,Africa,Employment equity,Junior management - Female,%,67.3,66.8,67.1,67.1
ABSA Group,Financial Services,South Africa,Africa,Employment equity,"Junior, middle and senior management - Female",%,59.4,61.7,61.8,62.0
ABSA Group,Financial Services,South Africa,Africa,Employment equity,Female in revenue generating functions,%,63.5,63.6,64.7,64.9
ABSA Group,Financial Services,South Africa,Africa,Employee remuneration,Salaries and wages,Rbillion,31515,27823,26133,25407
ABSA Group,Financial Services,South Africa,Africa,Labour,Number of trade unions,Number,16,16,15,13
ABSA Group,Financial Services,South Africa,Africa,Labour,Absenteeism rate,%,1.35,1.40,1.71,1.12
ABSA Group,Financial Services,South Africa,Africa,Employees,Percentage of employees with disabilities,%,0.75,0.90,0.93,0.88
ABSA Group,Financial Services,South Africa,Africa,Safety,Work-related injuries,Number,73,43,25,52
ABSA Group,Financial Services,South Africa,Africa,Safety,Days lost due to injuries,Number,190,298,185,124
ABSA Group,Financial Services,South Africa,Africa,Safety,Number of fatalities,Number,0,0,0,0
ABSA Group,Financial Services,South Africa,Africa,Safety,Work-injury rate - South Africa,Rate,0.22,0.07,0.06,0.11
