Company Name,Sector,Country,Region,Indicator,KPI,KPI Value,Unit,year,sector
3m_corporation-conglomerates-north america-new york-2022,Conglomerates,New york,North america,Employees,"1,862 1,994 1,878 Number of employees at year-end 92,000 95,000 95,000",7.0,,2022,Conglomerates
3m_corporation-conglomerates-north america-new york-2022,Conglomerates,New york,North america,Operations,State of Delaware to continue operations begun in 1902.,1929.0,,2022,Conglomerates
3m_corporation-conglomerates-north america-new york-2022,Conglomerates,New york,North america,Employees,"global online employee learning platform, employees are able to access unique,",15.0,,2022,Conglomerates
3m_corporation-conglomerates-north america-new york-2022,Conglomerates,New york,North america,Employees,the communities in which its employees live and 3M business operates.,50.0,,2022,Conglomerates
3m_corporation-conglomerates-north america-new york-2022,Conglomerates,New york,North america,Employees,be available to regular part-time employees who work at least 20,20.0,,2022,Conglomerates
3m_corporation-conglomerates-north america-new york-2022,Conglomerates,New york,North america,Operations,Financial Condition and Results of Operations.”,7.0,,2022,Conglomerates
3m_corporation-conglomerates-north america-new york-2022,Conglomerates,New york,North america,Operations,Financial Conditions and Results of Operations.”,7.0,,2022,Conglomerates
3m_corporation-conglomerates-north america-new york-2022,Conglomerates,New york,North america,Operations,"States, and, accordingly, the Company’s operations and the execution of its",70.0,,2022,Conglomerates
3m_corporation-conglomerates-north america-new york-2022,Conglomerates,New york,North america,Operations,3M suspended operations of its subsidiaries in Russia,2022.0,,2022,Conglomerates
3m_corporation-conglomerates-north america-new york-2022,Conglomerates,New york,North america,Supplier,"which the Company or its suppliers or customers operate, and these",19.0,,2022,Conglomerates
3m_corporation-conglomerates-north america-new york-2022,Conglomerates,New york,North america,Customers,"Company or its suppliers or customers operate, and these events have",19.0,,2022,Conglomerates
3m_corporation-conglomerates-north america-new york-2022,Conglomerates,New york,North america,Operations,"future adversely affect, the Company's operations and financial performance.",19.0,,2022,Conglomerates
3m_corporation-conglomerates-north america-new york-2022,Conglomerates,New york,North america,Operations,"States, the Company’s results of operations and its ability to realize",60.0,,2022,Conglomerates
3m_corporation-conglomerates-north america-new york-2022,Conglomerates,New york,North america,Operations,Financial Condition and Results of Operations.,7.0,,2022,Conglomerates
3m_corporation-conglomerates-north america-new york-2022,Conglomerates,New york,North america,Supplier,"and relationships with its customers, suppliers, federal contracting officials, employees, regulators,",11.0,,2022,Conglomerates
3m_corporation-conglomerates-north america-new york-2022,Conglomerates,New york,North america,Employees,"customers, suppliers, federal contracting officials, employees, regulators, and other counterparties and",11.0,,2022,Conglomerates
